
code	|	name	|	preferred name	|	taxid
3	|	Adelomyrmex biroi	|	 	|	 
3	|	Adelomyrmex bispeculum	|	 	|	 
1	|	Adelomyrmex brenesi	|	 	|	602954
3	|	Adelomyrmex coco	|	 	|	 
3	|	Adelomyrmex costatus	|	 	|	 
3	|	Adelomyrmex cristiani	|	 	|	 
1	|	Adelomyrmex dentivagans	|	 	|	1932940
3	|	Adelomyrmex dorae	|	 	|	 
3	|	Adelomyrmex foveolatus	|	 	|	 
3	|	Adelomyrmex grandis	|	 	|	 
3	|	Adelomyrmex hirsutus	|	 	|	 
1	|	Adelomyrmex laevigatus	|	 	|	602961
1	|	Adelomyrmex longinoi	|	 	|	602962
1	|	Adelomyrmex mackayi	|	 	|	602963
1	|	Adelomyrmex marginodus	|	 	|	1932941
3	|	Adelomyrmex metzabok	|	 	|	 
1	|	Adelomyrmex micans	|	 	|	602964
1	|	Adelomyrmex microps	|	 	|	602965
3	|	Adelomyrmex minimus	|	 	|	 
1	|	Adelomyrmex myops	|	 	|	602967
3	|	Adelomyrmex nortenyo	|	 	|	 
1	|	Adelomyrmex paratristani	|	 	|	1539493
3	|	Adelomyrmex quetzal	|	 	|	 
1	|	Adelomyrmex robustus	|	 	|	602968
3	|	Adelomyrmex samoanus	|	 	|	 
1	|	Adelomyrmex silvestrii	|	 	|	602970
3	|	Adelomyrmex striatus	|	 	|	 
1	|	Adelomyrmex tristani	|	 	|	602972
3	|	Adelomyrmex vaderi	|	 	|	 
1	|	Adetomyrma aureocuprea	|	 	|	2566224
1	|	Adetomyrma bressleri	|	 	|	1859171
1	|	Adetomyrma caputleae	|	 	|	1639816
1	|	Adetomyrma cassis	|	 	|	2566225
3	|	Adetomyrma caudapinnigera	|	 	|	 
3	|	Adetomyrma cilium	|	 	|	 
1	|	Adetomyrma clarivida	|	 	|	2566226
1	|	Adetomyrma goblin	|	 	|	2566227
1	|	Adetomyrma venatrix	|	 	|	602232
1	|	Adlerzia froggatti	|	 	|	603017
3	|	Aenictogiton attenuatus	|	 	|	 
3	|	Aenictogiton bequaerti	|	 	|	 
3	|	Aenictogiton elongatus	|	 	|	 
3	|	Aenictogiton emeryi	|	 	|	 
3	|	Aenictogiton fossiceps	|	 	|	 
3	|	Aenictogiton schoutedeni	|	 	|	 
3	|	Aenictogiton sulcatus	|	 	|	 
3	|	Aenictus abeillei	|	 	|	 
3	|	Aenictus acerbus	|	 	|	 
3	|	Aenictus aitkenii	|	 	|	 
3	|	Aenictus alluaudi	|	 	|	 
3	|	Aenictus alticola	|	 	|	 
3	|	Aenictus ambiguus	|	 	|	 
