
code	|	name	|	preferred name	|	taxid
1	|	Amitermes meridionalis	|	 	|	355290
3	|	Amitermes messinae	|	 	|	 
3	|	Amitermes minimus	|	 	|	 
3	|	Amitermes mitchelli	|	 	|	 
3	|	Amitermes modicus	|	 	|	 
3	|	Amitermes neogermanus	|	 	|	 
1	|	Amitermes obeuntis	|	 	|	377857
3	|	Amitermes obtusidens	|	 	|	 
3	|	Amitermes pallidiceps	|	 	|	 
3	|	Amitermes pallidus	|	 	|	 
3	|	Amitermes pandus	|	 	|	 
3	|	Amitermes papuanus	|	 	|	 
3	|	Amitermes paradentatus	|	 	|	 
3	|	Amitermes parallelus	|	 	|	 
3	|	Amitermes paravilis	|	 	|	 
3	|	Amitermes parvidens	|	 	|	 
3	|	Amitermes parvulus	|	 	|	 
1	|	Amitermes parvus	|	 	|	448101
3	|	Amitermes paucinervius	|	 	|	 
3	|	Amitermes pavidus	|	 	|	 
3	|	Amitermes perarmatus	|	 	|	 
3	|	Amitermes perelegans	|	 	|	 
3	|	Amitermes perryi	|	 	|	 
3	|	Amitermes procerus	|	 	|	 
3	|	Amitermes quadratus	|	 	|	 
3	|	Amitermes ravus	|	 	|	 
3	|	Amitermes rotundus	|	 	|	 
3	|	Amitermes sciangallorum	|	 	|	 
3	|	Amitermes scopulus	|	 	|	 
3	|	Amitermes seminotus	|	 	|	 
3	|	Amitermes silvestrianus	|	 	|	 
3	|	Amitermes snyderi	|	 	|	 
3	|	Amitermes socotrensis	|	 	|	 
3	|	Amitermes somaliensis	|	 	|	 
3	|	Amitermes spinifer	|	 	|	 
3	|	Amitermes stephensoni	|	 	|	 
3	|	Amitermes subtilis	|	 	|	 
3	|	Amitermes truncatidens	|	 	|	 
3	|	Amitermes uncinatus	|	 	|	 
3	|	Amitermes unidentatus	|	 	|	 
3	|	Amitermes vicinus	|	 	|	 
1	|	Amitermes vilis	|	 	|	1922277
3	|	Amitermes viriosus	|	 	|	 
1	|	Amitermes vitiosus	|	 	|	355291
3	|	Amitermes westraliensis	|	 	|	 
3	|	Amitermes wheeleri	|	 	|	 
3	|	Amitermes xylophagus	|	 	|	 
3	|	Amitermes yasujensis	|	 	|	 
1	|	Amplucrutermes inflatus	|	 	|	1778925
3	|	Ampoulitermes wynaadensis	|	 	|	 
1	|	Anacanthotermes ahngerianus	|	 	|	2584712
3	|	Anacanthotermes baeckmannianus	|	 	|	 
3	|	Anacanthotermes baluchistanicus	|	 	|	 
3	|	Anacanthotermes esmailii	|	 	|	 
3	|	Anacanthotermes gurganiensis	|	 	|	 
3	|	Anacanthotermes iranicus	|	 	|	 
3	|	Anacanthotermes macrocephalus	|	 	|	 
3	|	Anacanthotermes murgabicus	|	 	|	 
1	|	Anacanthotermes ochraceus	|	 	|	377858
3	|	Anacanthotermes saudiensis	|	 	|	 
3	|	Anacanthotermes sawensis	|	 	|	 
3	|	Anacanthotermes septentrionalis	|	 	|	 
3	|	Anacanthotermes turkestanicus	|	 	|	 
3	|	Anacanthotermes ubachi	|	 	|	 
3	|	Anacanthotermes vagans	|	 	|	 
1	|	Anacanthotermes viarum	|	 	|	1198109
3	|	Anaorotermes echinocolon	|	 	|	 
1	|	Ancistrotermes cavithorax	|	 	|	201536
3	|	Ancistrotermes crassiceps	|	 	|	 
1	|	Ancistrotermes crucifer	|	 	|	201537
3	|	Ancistrotermes dimorphus	|	 	|	 
3	|	Ancistrotermes dubius	|	 	|	 
3	|	Ancistrotermes equatorius	|	 	|	 
3	|	Ancistrotermes ganlanbaensis	|	 	|	 
3	|	Ancistrotermes guineensis	|	 	|	 
3	|	Ancistrotermes hekouensis	|	 	|	 
1	|	Ancistrotermes latinotus	|	 	|	479865
3	|	Ancistrotermes menglianensis	|	 	|	 
1	|	Ancistrotermes microdens	|	 	|	479866
1	|	Ancistrotermes pakistanicus	|	 	|	229719
3	|	Ancistrotermes periphrasis	|	 	|	 
3	|	Ancistrotermes wasmanni	|	 	|	 
3	|	Ancistrotermes xiai	|	 	|	 
3	|	Anenteotermes amachetus	|	 	|	 
3	|	Anenteotermes ateuchestes	|	 	|	 
3	|	Anenteotermes cherubimi	|	 	|	 
3	|	Anenteotermes cicur	|	 	|	 
3	|	Anenteotermes cnaphorus	|	 	|	 
3	|	Anenteotermes disluctans	|	 	|	 
3	|	Anenteotermes hemerus	|	 	|	 
3	|	Anenteotermes improcinctus	|	 	|	 
3	|	Anenteotermes improelatans	|	 	|	 
1	|	Anenteotermes nanus	|	 	|	377859
1	|	Anenteotermes polyscolus	|	 	|	377860
3	|	Angularitermes clypeatus	|	 	|	 
3	|	Angularitermes coninasus	|	 	|	 
1	|	Angularitermes nasutissimus	|	 	|	1934449
3	|	Angularitermes orestes	|	 	|	 
3	|	Angularitermes pinocchio	|	 	|	 
3	|	Angularitermes tiguassu	|	 	|	 
3	|	Angulitermes acutus	|	 	|	 
3	|	Angulitermes akhorisainensis	|	 	|	 
3	|	Angulitermes arabiae	|	 	|	 
3	|	Angulitermes asirensis	|	 	|	 
3	|	Angulitermes bhagsunagensis	|	 	|	 
3	|	Angulitermes braunsi	|	 	|	 
3	|	Angulitermes ceylonicus	|	 	|	 
3	|	Angulitermes dehraensis	|	 	|	 
3	|	Angulitermes elsenburgi	|	 	|	 
3	|	Angulitermes emersoni	|	 	|	 
3	|	Angulitermes fletcheri	|	 	|	 
3	|	Angulitermes frontalis	|	 	|	 
3	|	Angulitermes hussaini	|	 	|	 
3	|	Angulitermes jodhpurensis	|	 	|	 
